vocābulum -ī n	word
ūnus -a -um	one, only
ubi	where
trēs tria	three
tertius -a -um	third
syllaba -ae f	syllable
sex	six
sed	but
secundus -a -um	second, favorable
Rōmānus -a -um	Roman
quoque	also, too
quis quae quid	who, what
quid n	what, anything
prōvincia -ae f	province
prīmus -a -um	first
pēnsum -ī n	task (a thing weighed out, allotment for weaving, task/stint, homework)
paucī -ae -a	few, a few
parvus -a -um	little, small
oppidum -ī n	town
ōceanus -ī m	ocean
numerus -ī m	number
num	…? if, whether
nōn	not
-ne	…? if, whether
multī -ae -a	many, a great many
mīlle, pl mīlia -ium n	thousand
magnus -a -um	big, large, great
littera -ae f	letter
Latīnus -a -um	Latin
īnsula -ae f	island
in prp +abl	in, on, at
imperium -ī n	command, empire
grammatica -ae f	grammar
Graecus -a -um	Greek
fluvius -ī m	river
exemplum -ī n	example, model
et	and, also
sum esse fuisse futūrum	to be
capitulum -ī n	chapter
vir -ī m	man, husband
tuus -a -um	your, yours
titulus -ī m	title
servus -ī m	slave, servant
quot (indēcl)	how many, (as many) as
-que	and
puer -erī m	boy
puella -ae f	girl
pater -tris m	father
pāgina -ae f	page
novus -a -um	new
meus -a -um, voc mī	my, mine
māter -tris f	mother
līberī -ōrum m pl	children
liber -brī m	book
fīlius -ī m	son
fīlia -ae f	daughter
fēmina -ae f	woman
familia -ae f	domestic staff, family
ecce	see, look, here is
duo -ae -o	two
dominus -ī m	master
domina -ae f	mistress
cēterī -ae -a	the other(s), the rest
centum	a hundred
antīquus -a -um	old, ancient, former
ancilla -ae f	female slave, servant
voco, vocāre, vocāvi, vocātus	call, invite
video, vidēre, vīdi, vīsus	see, (pass) seem
verbum -ī n	word, verb
verberō, verberāre, verberāvī, verberātus	beat, flog
veniō, venīre, vēnī, ventum	come
scaena -ae f	scene, stage
rideo rīdēre rīsi rīsum	laugh, make fun of
rēspondeō, rēspondēre, rēspondī, rēsponsum	answer
quia	because
quī quae quod	who, which, he who
pulso, pulsāre, pulsavi, pulsatus	strike, hit, knock (at)
probus -a -um	good, honest, proper
plōrō, plōrāre, plōrāvī, plōrātum	cry
persōna -ae f	mask, role, character, person
ō	o!
ne-que/nec	and/but not, nor, not
mamma -ae f	mommy
laetus -a -um	glad, happy
īrātus -a -um	angry
interrogo, interrogāre, interrogavi, interrogatus	ask, question
im-probus -a -um	bad, wicked (not up to standard?)
iam	now, already
hīc	here
ego mē mihi/mī	I, me, myself
dormiō, dormīre, dormivī, dormītus	sleep
cūr	why
cantō, cantāre, cantāvī, cantātus	sing
audiō, audīre, audīvī, audītum	hear, listen
vacuus -a -um	empty
tantum	so much, only
taceo, tacēre, tacui, tacitus	be silent
suus -a -um	his/her/their (own)
sūmo, sūmere, sūmpsī, sūmptum	take
septem	seven
salvē -ēte	hello, good morning
